,content,individual,groups,religion/creed,race/ethnicity,politics
45,"khinh ng , khẩu nghiệp , sân si , có trời đấy nha , hok đất chôn thân đấy",2,0,0,0,0
46,"@ tiktok official phán chó hùa . t tao đéo hàng real . bớt lỗi lại . đéo fan hết . bán nghiệp quật . thử mẹ bây uống thuốc chống đột quỵ .... mà trúng thuốc giả tác dụng sao . đéo suy nghỉ . ừ hàng giả giả . rẻ chạy . bày real , hàng pháp .... xạo lồn",0,3,0,0,0
47,"ơi tr , tao coi tao cười thằng khùng",2,0,0,0,0
48,con,3,3,0,0,0
49,justin le nguyen phục máu lồn,3,0,0,0,0
50,"nguyễn thuận comment 1 chửi chó , ráng bữa comment lắp não",3,0,0,0,0
51,ngọcc lingg bút xinh xinh,1,0,0,0,0
52,ai bé : ) ) ) ),1,1,0,0,0
53,thằng hội eva bốc phốt địt mẹ thằng cố đéo đăng,3,0,0,0,0
54,mều siu nhơn why : ) ) ?,1,0,0,0,0
55,bọn công an đi đàn áp dân đen thôi .,0,3,0,0,0
56,phan linh chán đéo muốn nói,1,0,0,0,0
57,minh hoàng ghê ghê . top,1,0,0,0,0
58,"tâm nguyễn mắc cười thật , quốc tịch việt nam việt nam : ) ) ) ta chê việt nam chưa , khi chê đi tao vô chửi phụ mày : ) ) ) giàu đi chuyên vô ly",2,2,0,2,0
59,"đất đi đám trưởng , tổ trưởng tổ tư vấn thủ tướng toàn đám vô học , lưu manh giả danh trí thức , thời đại súc vật lãnh đạo",0,3,0,0,3
60,"i pray to jesus , sakya muni , allah ! please ! please protect him !",0,0,0,0,0
61,. khịa thầy chết mẹ,2,0,0,0,0
62,có não sử dụng đóng thành bê tông phí,0,0,0,0,0
63,bố điên,3,0,0,0,0
64,tuyet voi,1,1,0,0,0
65,trẻ trâu đóng phim hài hả,1,0,0,0,0
66,nghèo ba,1,0,0,0,0
67,hihi fan cứng,1,1,0,0,0
68,hà nhật đi đi : ) ) ),1,0,0,0,0
69,con hôn du lam nhiên cai mo no vua kia thay chuoi thach thuc ta kia 🤦‍♀️,0,0,0,0,0
70,🤣🤣,0,0,0,0,0
71,"thôi mày ơi , chết corona tiếng đất",1,1,0,0,0
72,chắc tiệp tiệp hạng thượng đẳng : ) ),1,0,0,0,0
73,"cái mà , việt nam ! mình câu 1 quan mà ! nhưng com mẹ quan bao khôn hồ vả mặt khôn bố lẫn ngu",3,3,0,1,3
74,dự nhiên kết hợp thành 3 huỷ diệt cmnr,2,0,0,0,0
75,quang nghĩa tiền,1,0,0,0,0
76,non thầy,1,0,0,0,0
77,mai lam fan cung,1,1,0,0,0
78,tóc đẹp salon : ( (,0,0,0,0,0
79,đừng biển ?,2,2,0,0,0
80,ặc,1,1,0,0,0
81,sống rồi .: ) ) ) ) chậm,2,2,0,0,0
82,dk me khong tang thue moi truong de lam gi ?,2,2,0,0,2
83,lộc phát cúttttttttt⛏⛏,2,0,0,0,0
84,vãi lồn : ) ),2,2,0,0,0
85,mẹ mày . đang họp đấy bọn ngu,3,3,0,0,0
86,"anh ha chào cụ tiên sư trần mần , hay khoái hài cụ , coi chừng cụ ncov quặc vô cụ đi đấy , còn cụ dương vật teo cúm dơi cúm mèo",1,0,0,0,0
87,đánh : ) ),1,0,0,0,0
88,"mấy cá đàn áp dân , dân ra , phủ tiền trao quyền lực đàn áp dân",0,1,0,0,3
89,dạng háng bắt sele bú cu thầy,3,0,0,0,0
90,giọng khàn khàn đéo thể yêu,0,0,0,0,0
91,quả báo,3,0,0,0,0
92,chat chan la xong.ko công an het.thang nao danh giet cu chat chan cat gan,3,0,0,0,0
93,thi = ) ),1,1,0,0,0
94,nghe lí mạc sầu,1,1,0,0,0
95,rô việt thức bọn nhật,0,3,0,3,0
96,"1 2 đứa trẻ sinh cõng 22 triệu 29 triệu , mấy đi vay tiền gdp = ) )",0,2,0,0,2
97,thiếu 1 0 : ) ),1,1,0,0,0
98,♥♥♥♥♥♥♥,0,0,0,0,0
99,chuì lồn chui gi vaÿ ?,0,0,0,0,0
100,cô thương ... i love you rờ cu❤️🥰,1,1,0,0,0
101,anh yếu sinh lý inbox,0,0,0,0,0
102,đơm chết mẹ liền : ) ),3,3,0,0,0
103,phắc ộp ! dmca,0,3,0,0,0
104,viết mực ad ?,1,1,0,0,0
105,hiếu bùi giỏi cặc,2,0,0,0,0
106,chet me may chua kkk,3,0,0,0,0
107,nguyễn trang trang độ !!!,1,1,0,0,0
108,thần kinh toạ,1,1,0,0,0
109,"ông xk ko , điên ... tội",1,0,0,0,0
110,tưởng khỉ chịt - hè đông chịt chịt đụ đụ khung bố đi nhậu,3,0,0,0,0
111,“ cháu ngoan ” hù đây !,3,3,0,0,0
112,sena tiuooir lôn,3,0,0,0,0
113,cai miệng chua hêt nghiệp lai tao nghiệp nua roi.phu ma tho tức miệng co doi ma nua,3,0,0,0,0
114,linh khùng,3,0,0,0,0
115,trần thị ngọc anh loài tỏ thượng đẳng chả triệu lồn gì .,2,0,0,3,0
116,quen lối sống hùa bầy đàng . mỗi viet ta đầu suy nghĩ .,0,3,0,3,0
117,xinh vãi lồn y kien gi,2,2,0,0,0
118,giáo án cặc,3,0,0,0,0
119,chi giau dep gai chi ke ho . chi giau,1,1,0,0,0
120,vậy ? cái tiền hỗ trợ túi ? túi thằng hả ?,2,2,0,0,0
121,ồ . vậy vụ vinashin toàn mấy ngu nhỉ ? bạn giỏi,2,3,0,0,0
122,bắt nôn 400 tỷ !,1,0,0,0,0
123,hôm thót tim giật phết đấy ạ : ) ),1,1,0,0,0
124,đẹp trai,1,1,0,0,0
125,"đizz mẹ giết dân lũ chó quân cướp đéo quân yêu , bây rước giặc tàu đương tàu giết dân ta , formosa giết dân ta bàn chứng cụ thể",0,0,0,0,3
126,danh nguyễn anh khôi ? cánh hoa khong kia cảm ơn vậy,1,0,0,0,0
127,ở việt nam rừng luật bọn chuyên xài luật rừng !,0,0,0,2,3
128,"chửi khỉ chửi , ta lao động kiếm sống mà , việt nam đi xuất khẩu lao động mấy thu thuế",2,2,0,2,0
129,rồi đeo cac j . chấp hành giúp nước . h quản phạt tù,3,3,0,0,0
130,rít bi ngoan vãi lồn,2,2,0,0,0
131,địt mẹ mày ghi vd admin,3,3,0,0,0
132,con mẹ mày . nhạ ơi . nhòm bữa cơm 25k cháu trường tiểu học hạp lĩnh . tp bắc ninh mày đớp,3,0,0,0,0
133,bệnh dịch corona covid 19 lai tạo.con giặc corona covid 20 lai tạo . 2 thuột dạng báo đời,0,0,0,0,0
134,sao xoá thuế nông dân . lm thua lỗ,1,1,0,0,0
135,đoàn trốn trại ... nói điên khùng,0,0,0,0,0
136,đảng ta mùa xuân thất vọng !,0,3,0,0,3
137,trần sinh đức phiền,1,0,0,0,0
138,@ phương vo lồn mẹ . nói ta chối,3,0,0,0,0
139,tú tý tởn cười quần qùe : ( (,2,0,0,0,0
140,biết bắn chết tiên chi corona,3,0,0,0,0
141,3-4 tr 300k 400k ... xạo ngu to ... mặt dạy đời hàng thương : ) ) ) mồm mày gai tre tối xộn lào,3,0,0,0,0
142,"vcl nhiên chửi ngu trường hợp ngu ví dụ ! đụ mẹ thằng "" lỏng bao "" ngu khác ! não teo hoá chó",3,0,0,0,0
143,lần bắt chụp thành + chủ vũng đái ghép lại . up công ty đội quần,0,1,0,0,0
144,rọi béo moi ' noi ' lồn gi` vậy ?,2,0,0,0,0
145,cu dan doi kho . ma tai sao an chan tiền tán dan ngheo vay trời,0,1,0,0,0
146,thang bong gia ngao da cai lay mieng may nhu cai cau tieu vay,3,0,0,0,0
147,lào tàu khựa thằng admin ngu ạ . ủng hộ mồ tổ mày .,3,3,0,3,0
148,anh độ thiết kế iphone 11,1,0,0,0,0
149,ông đi lạc,1,0,0,0,0
150,tùng xhaka arsenal đi tùng,1,0,0,0,0
151,"anh live đấy , live cổ vũ game đấy🤣🤣🤣🤣",1,0,0,0,0
152,đỗ khánh dư . tìm hình ảnh nhiều ...,1,0,0,0,0
153,thinh hoang may izakaya nhật houston chết mẹ t : ) ),3,0,0,3,0
154,"đéo cặc múa phím suy diễn địt mẹ tụi bây , ta ghen tức",0,3,0,0,0
155,chí bảo nhung cặc,3,0,0,0,0
156,lam ma co the tha loi duoc nhung an vo hoc thuc nhu the nay . bo tay .,0,2,0,0,0
157,tham my dien vay choi co cam giac chi dep gai,0,0,0,0,0
158,dân trí thức kém kiến thức lý,0,0,0,0,0
159,"đi chữa bệnh thôi , đừng họp chả hành nữa ...",0,0,0,0,0
160,em de mat nhu vay nhiên rat dep nhiên de thuong lam gai,1,1,0,0,0
161,"3 0:03 "" con đ.ĩ l.oz thúi "" 🦋",3,0,0,0,0
162,ngứa đái kkkkk,2,2,0,0,0
163,không nghèo việt nam tiền tỷ tỷ tỷ chưa.kể tài sảng xạo lozzz mk.bóng bóng dơ bóng dũa nail lồn gì .,3,0,0,0,0
164,"việc to biến nhỏ , việc thành gì.xong đánh lạc hướng dư luận hướng báo.một bàn máy tuyên truyền",0,2,0,0,2
165,dũng thằng tào lao lồn,3,0,0,0,0
166,"tôi vây , , , nói tân hiệp phát",1,1,0,0,0
167,mày bảo quan vận động tiền đi . ngu diễn,3,0,0,0,0
168,"khúc ruột ngàn dặm : ) ) , mấy thành viên hội cháu , gia đình dòng tụi đu vui : ) )",0,3,0,0,0
169,địt mẹ giọng cười abe khốn nạn vãi lồn : ) ) cười = ) ),2,0,0,0,0
170,sống lố thể,0,0,0,0,0
171,"người miền tây thiệt tình , thương",0,1,0,0,0
172,đào mạnh an ly xét nghiệm,1,0,0,0,0
173,toà án việt + bọn giết hơp pháp,3,3,0,0,3
174,thằng đầu bò,3,0,0,0,0
175,huyền vy dẹp mẹ đi,2,0,0,0,0
176,dỗi,1,1,0,0,0
177,"hợp đồng dcs tàu nhá , đéo dân .",0,3,0,1,0
178,bê lồn chạy quanh,2,2,0,0,0
179,đhs mặc định nội đéo nhỉ ? qatar sân bây qatar hà nội transit bangkok : ) ) ) . sân bây trộm : ) ) ),0,0,0,2,0
180,trưởng thành vãi lồn,1,0,0,0,0
181,biệt tài xong chẳng trần dần gì . vũ hoàng lân kiếm viu đi vấn điên .,3,2,0,0,0
182,em dung mot goc ma thay chi mat chi phuc hau chi chi gi cung,1,0,0,0,0
183,hả thầy : ) ),1,1,0,0,0
184,địt kỉ,2,2,0,0,0
185,1 đĩ,3,0,0,0,0
186,địt mẹ đứa nào bảo thần tượng trần dần mắc covid đấy,2,0,0,0,0
187,nguyễn thuận comment não đi,2,0,0,0,0
188,chuẩn vãi lồn : ( (,2,2,0,0,0
189,hải yến đéo care comment gì ???: ) ) ) ô mày à ?: ) ) ) ),3,0,0,0,0
190,thầy giáo lu vờ cờ lờ giáo lu = ) ) ),1,1,0,0,0
191,hiếu bùi giỏi cặc,2,0,0,0,0
192,vài bữa công ty lục tỉnh thông báo lỗi xanh bôn hài vờ cờ lờ,2,2,0,0,0
193,"thiên minh đọc à , 14 ly , tiệp chạy tung khắp thành phố ( tổ dân phố kiểm tra nhân chứng , ảnh chụp thấy ) chủ tich thành phố ký quyết định ly tiệp sai qđ . nói thức kém thằng nương tay , cưỡng chế",2,0,0,0,0
194,bình nhiễm . hài,1,1,0,0,0
195,vl . 33 giây đời cười . tốn thời gian đéo lồn,0,3,0,0,0
196,chỉnh bô . xe cộ ẩu vãi lồn,0,0,0,0,0
197,nghe hay,1,1,0,0,0
198,đây thất bại cuộc sống,0,1,0,1,3
199,nguyễn thu hườngphan xuân hưngthành nguyễnhoàng văn quyềnđào thị thu lịch cầu giấy họp hơi lâu .: v,1,1,0,0,0
200,nguyễn hoàng vậy,1,0,0,0,0
201,ngta ta chua kêu mày dạy tao gạt lgbt thương mua ủng hộ live tao coi may địt mẹ mua ve xịt 3phút đéo mùi thu gian dối tồn hon ta hỗn xạo,3,1,0,0,0
202,địt mẹ dơ,0,3,0,0,0
203,mai tao đi dân quân xong đi mày giết mày admin đồ phản động dư luận viên dạo hoạt động ghê,3,2,0,0,0
204,phạm nguyễn cát vy cái lồn gì,3,2,0,0,0
205,combat lùi rọi béo,1,0,0,0,0
206,cđ trâu dạy trời r🤣🤣,3,0,0,0,0
207,chuẩn !!,0,0,0,0,0
208,loại mày trời đánh mày,3,0,0,0,0
209,ủa emvi giải hoa hậu khóc ? từ giải chen lấn vui nghe .,1,0,0,0,0
210,buồn nôn nè : ) ),1,0,0,0,0
211,đó tưởng 2 phai,2,2,0,0,0
212,"chia buồn admin , bốc xếp an ninh coi máy soi chiếu báo bốc sếp",1,1,0,0,0
213,linh láo lồn ??,3,0,0,0,0
214,thật quên kéo khoá quần lộ quần lộ hẳn thành phong đỡ quê,0,0,0,0,0
215,địt,2,2,0,0,0
216,bích trâm : ) ) ) ) ) tập trung đừng vui đùa uyên thảo,1,0,0,0,0
217,chung tiến súc vật 16 17 nằm góc trái đồ,1,1,0,0,0
218,cút mẹ đi tạm lồn,3,3,0,0,0
219,coi vui ghê,0,0,0,0,0
220,sao ta vô duyên,0,0,0,0,0
221,nói thức đầu buồi tội đầu buồi quá . đéo mày,3,3,0,0,0
222,sống chậm,1,1,0,0,0
223,nguyễn hữu đạt duyên chết liền .... nhưng kkkk,1,0,0,0,0
224,ghé shop lựa đồ unisex hàng qc siêu xinh shop bao check hàng,1,0,0,0,0
225,"❤️ hào vn , hào cháu ngoan bác hồ",1,1,0,1,0
226,phe nguyễn phú trọng compat tổng nguyễn tấn dũng = ) ),1,1,0,0,1
227,,0,0,0,0,0
228,chửi bình đấy : ) ) việt nam khổ câu chửi chẳng,2,0,0,1,0
229,thật nhục nhã,0,0,0,0,0
230,con bóng ngu ngục minh hiếu,3,0,0,0,0
231,"dm . t go go chạy đớp ak , gửi pit",1,0,0,0,0
232,giang thanh đạt đú đẫn quang trung : ) ),1,0,0,0,0
233,vĩ đại máu lồn = ) ) ),0,0,0,0,0
234,trân dân.mày vê việt nam tao sē công đâu mày .... nhơ lơi tao nói ... thương bé lăm,3,0,0,0,0
235,❤️❤️,0,0,0,0,0
236,thôi im mẹ đi ...,2,0,0,0,0
237,thờ đi du lịch chi đi kịp đầu thai hả ha đi,0,2,0,0,0
238,thời trang thời chủng cảm tình,0,0,0,0,0
239,sale 99% mua,1,1,0,0,0
240,à hát jui giới thiệu ko . lâu jui chẳng hát,0,0,0,0,0
241,"goodnow tran no đi tiết diên mày mắc bệnh giờ , tui cam đoan",1,1,0,0,0
242,quần xịn tư đéo xịn,1,0,0,0,0
243,xin phép copy,1,0,0,0,0
244,"chúc vui vẻ , an khang thịnh vượng .",1,1,0,0,0
245,‍♀️,1,1,0,0,0
246,"trầm cảm mẹ , tâm mãi che giấu nụ cười",2,0,0,0,0
247,ghê vạy ... chứ đè đầu bắt tù thằng dám ! phở !,1,3,0,0,0
248,7 8 triệu . anh nghèo lắm,1,0,0,0,0
249,0969779003 gọi lw,0,0,0,0,0
250,"đang họp kín , đéo phóng viên vào . đm .",2,2,0,0,0
251,chuc chi 3 khoe,1,1,0,0,0
252,hoàng xuân lộn lắm . thôi nhịn nheng,1,0,0,0,0
253,tổ lái,1,1,0,0,0
254,tại thầy,2,2,0,0,0
255,cho ngáp chừa cho mày sống nhe,2,2,0,0,2
256,mày mày cễnh,3,0,0,0,0
257,hahahahahahaaaa,0,0,0,0,0
258,mat la chi ba duoi chac la ong ba yo,0,0,0,0,0
259,mất kho free,0,0,0,0,0
260,không chủ nghĩa tàn phá đất chủ nghĩa này . các trẻ kiềm chế hân hoan bóng đá thương gia đình dài .,0,0,0,0,3
261,"bán ràng rồi , cháu dư luận viên sủa ko ?",0,0,0,0,0
262,đi ly đi du lịch,1,1,0,0,0
263,em hàm đẹp hỗ trợ hi hi,1,0,0,0,0
264,mía sâu đốt dột đàn hoàn mày chửi vơ đũa lỗi cộng đồng bây chửi tiếp bó tay .,1,0,0,0,0
265,cái khen xấu chê admin tầm thấu đáu suốt . chứ bọn ngu đần mê mụi phân biệt sai . người ta sai ta việt tân,3,3,0,0,0
266,đéo like . cho thầy đi cắp,1,0,0,0,0
267,điên,1,0,0,0,0
268,hết hành động hâm nóng tình cảm ngu,1,0,0,0,0
269,sản phẩm 1 giáo dục thối nát,3,3,0,0,0
270,duyên phạm ghê trời văn chương hén,1,0,0,0,0
271,địt mẹ vô ly sống đài sung sướng .. ngta phục vụ cơm tận miệng cà chớn .. muốn mày sống ly mày chết kệ mẹ mày,3,1,0,0,0
272,"nó chó nhập địt mẹ chạy cắn chết bọn mày ,",3,0,0,0,0
273,con mẹ,3,0,0,0,0
274,hải văn trần chực bú cu tiệp = ) ) ) ),3,0,0,0,0
275,hh ... yêu vãi lồn,2,0,0,0,0
276,phãi đừng,1,0,0,0,0
277,được vãi lồn ơiii ..,2,2,0,0,0
278,không bao tha lỗi,0,0,0,0,0
279,"tại người , chê chửi :",1,1,0,0,0
280,sao đàn cháu tưởng đàn,3,3,0,0,0
281,này độ hỉ .,1,0,0,0,0
282,bexuammailonto,3,0,0,0,0
283,tội nghiệp đi,1,0,0,0,0
284,"bận tượng đài , bận xây cầu nghìn tỷ , đường nghìn tỷ khác . có . kêu đéo gì . xây tiền đút túi dại xây .",0,3,0,0,0
285,cay đỏ đái,3,3,0,0,0
286,ý kiến triệu cải . lên phường mau,0,0,0,0,0
287,công thức phá sảng = ) ),2,2,0,0,0
288,"băn khoăn cá chết đéo màu mè cá đéo chết màu , nghi án đổ màu loang mị nhau , tối tối đi đổ cá hồ chết hàng loạt hoang phân táng dư luận , dmd",3,3,0,0,0
289,cháu đừng xạo lồn bố cháu tùng,3,0,0,0,0
290,# error !,0,0,0,0,0
291,bác trần dần kết câu ván cờ đúng.chúc,1,0,0,0,0
292,and dlv come in 3 ... 2 ...,0,2,0,0,0
293,"cái fanpage phản động đấy , admin súc vật cặc",3,0,0,0,2
294,trời thầy bóng à .,2,2,0,0,0
295,"mấy mấy trị tham nhũng tử hình dùm , tiền no dân đéo thằng rảnh phản động mấy mấy ạ .",2,2,0,0,2
296,vãi lồn = ) ) ),0,0,0,0,0
297,"anh nói nghèo khổ có nhau , chứ anh có nói giàu có nhau đâu",1,1,0,0,0
298,huyền khánh phùng mặt lớp,2,0,0,0,0
299,vu quynh huong 1 cân hoàn hảo vãilone hoá = ) ) ) ),2,0,0,0,0
300,dễ thương sức,1,0,0,0,0
301,huỳnh chí tính clmm chổng mông lên,2,0,0,0,0
302,thứ giật tiền minh hiếu,3,0,0,0,0
303,ngầu thế . k tộc trưởng ẻo lả,1,1,0,0,0
304,gu mặc cặc,0,0,0,0,0
305,> > > > > > > > > > > > > > > > > > > > >,0,0,0,0,0
306,ad óc chó vãi lồn,3,3,0,0,0
307,má đẹp trời,1,1,0,0,0
308,tinh tế kèm chút vãi loz .,2,0,0,0,0
309,con điên ghê,3,0,0,0,0
310,"má ta coi hài , cô thương",1,0,0,0,0
311,page chuẩn sợ,1,1,0,0,0
312,con mẹ mày trốn học thầy tao khịa,2,0,0,0,0
313,nhìn mặt ngắn ngủn . mắt hít . mũi to . nhìn nhủ mấy thằng nô lệ .,3,0,0,0,0
314,mua áo thầy live lộ ngực ..,1,1,0,0,0
315,1 chó điên sủa cắn ....,3,0,0,0,0
316,giáo án hả,1,1,0,0,0
317,"từ việt nam thành ổ chứa dịch bọn rich kid , việt kiều khoẻ tiền sống này , kia , quốc tịch quốc tịch kia , việt nam , kiểu việt nam chỗ tạm trú , đéo mày sống kiểu",2,2,0,0,0
318,3 5:2 5 đỏ vàng 1 xúc phạm,1,1,0,0,0
319,quan trọng dân đéo mày sợ mày lạm quyền trưng dụng,0,2,0,0,2
320,thương,1,1,0,0,0
321,"thế rốt "" chu cà mo "" nghĩa",0,1,0,0,0
322,"thớt óc chó , dư lợn viên cám heo , bò đỏ ngu si .. thằng đàn rẻ tiền dạy .. 1 khốn nạn ..",3,3,0,0,3
323,cái lồn,2,0,0,0,0
324,"vãi lồn bùi thắng , đi cãi chi mệt",3,0,0,0,0
325,đúng mười lạ toàn hụt mấy phút,0,1,0,0,0
326,mắc cười,1,1,0,0,0
327,gần toàn gái xinh hành xử kém quá .,0,0,0,0,0
328,dư luận viên ẳng,3,3,0,0,0
329,"90 phân tram , tôi rât dông-y voi dâu-oc trai-tim , y-tuong loi dây tán trân-dân. en l ' écoutant parler , je suis très d ' accord d son esprit , de tout qu ' il s ' exprimait ici .",0,0,0,0,0
330,"đéo im , thằng cục trưởng cục phân kia bảo dư chất độc nông sảng phép sao , độc giả tức bảo "" kính thưa thằng cục cứt : chất độc thể được "" , chửa ???",3,0,0,0,0
331,quá chời đất kon tiết,1,1,0,0,0
332,thuyết cặc,2,0,0,0,0
333,"đéo m , thầy giáo sống ảo",3,0,0,0,0
334,d ' đức d hình cười ỉa,0,0,0,0,0
335,lân toàn câu hóc búa trot dần . lão thần kinh . nước mỹ thuốc trị bệnh thần kinh trần dần chữa virus19 kkkk,2,0,0,0,0
336,"nếu thử nghiệm chết tai nạn . thằng chó admin bảo : cơ quan quản lí , dõi dân chết phát minh mình . ex",3,3,0,0,0
337,deoooo nha thầy,3,0,0,0,0
338,các chả ngang im lặng đi nghiệp,3,0,0,0,0
339,trần thành,1,0,0,0,0
340,🥰🥰🥰,0,0,0,0,0
341,mai ánh thi nhắn,1,0,0,0,0
342,lý phục vô thuyết lí hợp = ) ) ~ ~ ~,1,1,0,0,0
343,đéo đất,0,0,0,3,0
344,so pre tài trợ độ tây ngày hôm ngày = ) ),1,1,0,0,0
345,mày khôn mày,1,0,0,0,0
346,"sang campuchia phát triển tài năng ! đã 2 phong tướng đó , việt nam nằm mơ đi .",2,2,0,2,0
347,đang khoe đú trend nhung dở mẹ,1,1,0,0,0
348,đéo lỗi 1 câu xong v ?,3,3,0,0,0
349,vợ yêu uống động dục 🤨,1,0,0,0,0
350,sena ám mẹ,3,0,0,0,0
351,già dơ,3,0,0,0,0
352,mỏ lồn làng hài khẩu nghiệp !,3,0,0,0,0
353,thay tào lao lồn,0,0,0,0,0
354,"nếu ai , cộng đồng giúp tiêu diệt chế độ cộng sảng sót giới , đặc biệt trung quốc vn , trao tặng giải nobel hoà bình giải nobel y học . giải nobel hoà bình công lao tiêu diệt chủ nghĩa bạo cộng",0,0,0,3,3
355,có áp lực sống ... áp lực buồn phiền suy,1,1,0,0,0
356,3 chicken,1,0,0,0,0
357,dễ thương,1,1,0,0,0
358,"thằng việt chờ thằng chung xả đầu truyền thông hoan nghênh nhé , việt chung tốt , chung giùm việt hẳn 1000",0,0,0,3,3
359,chết mẹ tr dần ơi.ông thống đốc bang tuyên bố già chữa.vậy chạy đường đây .,3,0,0,0,0
360,mẹ mày thằng chó đéo bố . mẹ mày,3,0,0,0,0
361,thằng trung cặc to lắm,2,0,0,0,0
362,đức trung tuần vô,1,0,0,0,0
363,10.000 tỷ 10.000.000.000.000 vnd .,0,0,0,0,0
364,không chừng đồng chí mua phẩm màu rải,1,1,0,0,0
365,uy tín chó bọn độc tài,0,3,0,0,0
366,mình fanpage ích kỷ ấy .,0,0,0,0,0
367,"ô tiên tri dịch corona , và chết không ? hay tào lao xạo",2,0,0,0,0
368,mv chất đéo,2,2,0,0,0
369,khug xau xi đéo vang giả len cau lai ha di khùng mjeg lồn,3,0,0,0,0
370,thế định xây 11 ngàn tỉ chưng bày mả bố : ) ),0,3,0,0,0
371,chơi riết catte tiến lẫn lộn catte hai mừng,0,0,0,0,0
372,,0,0,0,0,0
373,nó vãi lồn,2,2,0,0,0
374,"khau nghiep khong chi doc ma , day la tinh cach tán sao , , ???",1,0,0,0,0
375,anh trong,1,0,0,0,0
376,huế đêm trung thu xách lồn đi,3,0,0,0,0
377,trần ngọc dương địt mẹ het fan cung,2,0,0,0,0
378,"ông xạo đi ơi , tào lao , già xạo trời ?",3,0,0,0,0
379,ba gà,1,1,0,0,0
380,mê,0,0,0,0,0
381,nguyễn thư,0,0,0,0,0
382,cuộc sống thú vị xamlol,2,0,0,0,0
383,vui lo`ng tien tri khi na`o ong tran da`n chet ?,3,0,0,0,0
384,quần cu,0,0,0,0,0
385,4,1,1,0,0,0
