,content,individual,groups,religion/creed,race/ethnicity,politics
1800,nông nghiệp chăn nuôi xã hội chủ nghĩa lừng danh đông lào thịt heo đắt gấp đôi gấp 3 thịt lợn nhập khẩu tư nuôi tít kia vòng trái đất tận cửa !!!!,0,0,0,2,0
2073,"hà lội văn hiến chứ , sống bao sống , hít thở ôxy thiên đường đấy",0,0,0,2,0
2166,việt nam vô địch,0,0,0,1,0
2169,bên mỹ bệnh viện tâm thần,0,0,0,1,0
2187,du học sinh úc = ) ),0,0,0,1,0
2193,"1 quốc gia đường đi , số bot chóng mặt",0,0,0,1,0
2235,this is vietnam !!!,0,0,0,1,0
2248,đó chẳng bao chế độ độc tài sập mong,0,0,0,3,0
2297,"cũng may ngày ấy phần lan được "" vinh dự "" gia nhập liên bang xô viết !!!",0,0,0,2,0
2307,dẫn độ tội phạm tc hoành tráng,0,0,0,1,0
2363,việt nam vô địch sea games,0,0,0,1,0
2455,chúc mừng bóng đá việt nam ha ha ha,0,0,0,1,0
2571,tưởng nhật bản văn minh,0,0,0,2,0
2580,khổ gj corona nay . thăng trung cộng no oán hận,0,0,0,3,0
2619,dân chủ mẽo,0,0,0,1,0
2661,chỉ óc chó giặc tàu,0,0,0,3,0
2669,lê chánh huy vãi lồn nhật văn vậy 🤣,0,0,0,1,0
2706,việt nam đứng tóp đầu khinh giới,0,0,0,3,0
2770,thiên đường cs !,0,0,0,2,0
2893,"thiệt việt nam mốt thành ổ trộm cướp giật đồ hết , tha hồ trộm đi , bảo vệ",0,0,0,3,0
2907,tuấn mạnh : ) ) ) nhật nổi tiếng biến thái,0,0,0,3,0
2934,"tàu mà ... miệng bốn tốt , 16 vàng bắn ngang lưng rạ gạc ma , nhảy tư chính ... chừng hốt xong đốt luôn .",0,0,0,3,0
3001,"hạnh an việt nam gan quá , tụi việt nam r , chết víu kêu sợ , bố sợ bố học học đi sợ chết : ( ( (",0,0,0,2,0
3027,hệ thống thuỷ yếu kém cộng khựa bẩn bựa lụt lội tất nhiên : \,0,0,0,2,0
3044,"bọn khựa , bọn tàu",0,0,0,2,0
3107,như sèo vui đại thắng .,0,0,0,3,0
3171,đúng ... ng việt nam xạo lồn nghèo nổ lắm,0,0,0,3,0
3266,bên đà nẵng văn minh : ) ),0,0,0,2,0
3408,"thế thằng miền bắc trung quốc chiếm giùm , mai mốt lại .",0,0,0,2,0
3504,truyền thống văn hoá đẹp thời hòn đái viễn đông,0,0,0,3,0
3621,"giác đi , thành phố hcm , giết sg",0,0,0,3,0
3660,made in việt nam,0,0,0,1,0
3813,hình thằng mỹ thiếu nợ thì phải . tất cả các nước nợ mỹ . mỹ vô địch . i love you,0,0,0,2,0
3814,đất việt nam bây trung quốc hồi mạng văn hoá quá . bệnh thành tích gia đình trị cháu lên.bất tài vô dụng tham nhũng chảy máu chất xám lừa dân . tức vỡ bờ muộn rẻ đất,0,0,0,3,0
3871,"ở indonesia tàu điện ngầm rồi , đông lào đợi mãi",0,0,0,1,0
3888,việt nam,0,0,0,1,0
3912,đất thối nát,0,0,0,3,0
3922,thằng chẳng thằng khác . việt nam quân đội tí nuốt thằng cam kìa : ) ),0,0,0,2,0
4005,truong anh vụ tội lái container vãi đéo sai phạt thể việt nam phiên toà show hài,0,0,0,3,0
4107,dân ta ảo tưởng,0,0,0,2,0
4154,địt mẹ ho chi minh,0,0,0,3,0
4204,dân indo mày chọc mù,0,0,0,2,0
4303,"cứ nhật thức , văn minh : ) )",0,0,0,2,0
4325,sắp đông lào đánh chiếm hàn quốc giáo .,0,0,0,1,0
4390,việt nam vô địch,0,0,0,1,0
4458,trung cộng phát hiện vi rút tiểu nhé .,0,0,0,2,0
4477,dkm chửi bọn chó vàng made in việt nam,0,0,0,2,0
4503,tàu khựa tào lao,0,0,0,3,0
4540,thưa nhà tiên tri cho biết khi nào việt nam sẽ xoá sổ trung quốc vậy ?,0,0,0,3,0
4544,việt nam phát ngôn câu địt mẹ xác định,0,0,0,2,0
4596,bên tàu + chắn giải 🤣🤣🤣,0,0,0,2,0
4622,so sánh với bắc triều tiên biết chất của độc tài rồi .,0,0,0,3,0
4744,chac chan coronaviruswuhan di thi the gioi se khong de yen trung cong .,0,0,0,3,0
4830,vì việt nam bây thua campuchia,0,0,0,3,0
4895,đạo khổng sâu tiềm thức rồi . xã hội thể bắt kịp văn minh nhân nữa .,0,0,0,2,0
4939,bên mỹ bệnh viện thần kinh ?,0,0,0,1,0
4952,t.q âm mui chê vi trung giết nhân loai toan thể giới . đê lây lan chết nhiêu oan . mang tcb to thêgioi sét su ?,0,0,0,2,0
5074,"khổ , bố xạo tẩy chay mấy thành bợ đít chạy theo : "" người việt hàng việt yêu nước "" , "" dn việt đóng ngàn tỷ tiền thuế dập "" .",0,0,0,2,0
5182,qua mĩ tư tưởng độc đảng china,0,0,0,2,0
5185,đất ta thiệt thòi chiến tranh liên miên,0,0,0,1,0
5199,tq hắc xì giới rung,0,0,0,2,0
5228,trung quốc mẹ trung quốc đi bày china chi nủng . đang tiếng việt tiếng,0,0,0,2,0
5247,đấy chưa . quốc sư mỹ xoá cờ hó vnch rồi .,0,0,0,3,0
5503,việt nam yêu cầu công an thiệp công nội việt nam !,0,0,0,1,0
5542,việt nam đi thời đại,0,0,0,1,0
5586,xong ta trung quốc rồi !,0,0,0,2,0
5598,"nhiễm thành phố hôi chết mẹ bảo sương mù xuất hiện đẹp đà lạt hai , hà nội đẹp sapa , đà lạt sapa",0,0,0,2,0
5601,cái quái đất phản động . tự ngôn luật bao chỗ đứng đất vn .,0,0,0,3,0
5606,việt nam đăng ký quyền nhé !,0,0,0,1,0
5633,tin việt nam ta bệnh dịch đoàn kết nổ lực ❤,0,0,0,1,0
5643,lắm tiền ích tí đừng mấy hàn quốc,0,0,0,3,0
5736,hoàng hải vietnam num bơ qoan,0,0,0,1,0
5737,: ) ) . ở thiên đường ngành nghề hợp pháp nhé.đặc biệt nghề cướp đường.làm tù 6 nhẹ,0,0,0,3,0
5794,qua đông lào du lịch kiểu đấm vỡ mồm : ) ),0,0,0,1,0
5970,kho than ta sinh nham dắt nuoc nay` = ) ),0,0,0,3,0
6027,trung quoc government la dog have babies !!!,0,0,0,3,0
6107,đụ mẹ biểu việt nam nằm hạ thượng chặn lõ luôn .,0,0,0,2,0
6179,xem mấy thằng chim ngắn thượng đẳng cà khịa ta mấy hôm,0,0,0,3,0
6255,ốc chó mới kêu cầm cờ việt nam diễn tập .,0,0,0,2,0
6265,"tàn bạo , hk cố",0,0,0,1,0
6339,"nguyễn phước uh , tia cực tím lỗi mỹ , tàu nhé , lôi chửi nhà nhé , việt nam ngừng sx công nghiệp đói rã họng đéo bớt nóng , bớt cực tím",0,0,0,2,0
6348,"không dám to đâu , liên tưởng nhà hồi giáo xưng is . tụi chuyên đi khủng bố thưởng dân ấy ...: v",0,0,0,1,0
6417,"nga "" chiếm "" đảo nhật : thế admin ủng hộ đánh đi . hay admin tàu sát nhé . em ủg hộ 2tay",0,0,0,2,0
6552,việt nam vô địch,0,0,0,1,0
6578,nước hoa pháp đó ... 150k 2 chai,0,0,0,1,0
6671,thanh hoá,0,0,0,1,0
6673,đi việt nam hàng thập kỉ,0,0,0,2,0
6780,tàu khựa tao thù đục,0,0,0,2,0
6848,thấy nước ta thấy ham nhìn lại xứ vịt ngan chán,0,0,0,3,0
6953,vâng vn .... 1 đất ngôn luận sĩ .... vãi vn ...,0,0,0,3,0
6989,này đế quốc quẫy chết rẫy chết : ) ),0,0,0,1,0
